,zipcode,local
0,612,Saint-Nicolas
1,1000,BRUXELLES
2,1005,Assemblée Réunie de la Commission Communautaire
3,1006,Raad van de Vlaamse Gemeenschapscommissie
4,1007,Assemblée de la Commission Communautaire Française
5,1008,Chambre des Représentants
6,1009,Senat de Belgique
7,1011,Vlaams parlement
8,1012,Parlement de la Communauté française
9,1020,Laeken
10,1030,SCHAERBEEK
11,1031,Organisations Sociales Chrétiennes
12,1033,RTL-TVI
13,1035,Ministère de la Région de Bruxelles Capitale
14,1040,ETTERBEEK
15,1041,International Press Center
16,1043,VRT
17,1044,RTBF
18,1046,European External Action Service
19,1047,Parlement Européen
20,1048,Union Européenne - Conseil
21,1049,Union Européenne - Commission
22,1050,IXELLES
23,1060,SAINT-GILLES
24,1070,ANDERLECHT
25,1080,MOLENBEEK-SAINT-JEAN
26,1081,KOEKELBERG
27,1082,BERCHEM-SAINTE-AGATHE
28,1083,GANSHOREN
29,1090,JETTE
30,1099,Bruxelles X
31,1100,Postcheque
32,1101,Scanning
33,1105,ACTISOC
34,1110,OTAN
35,1120,Neder-Over-Heembeek
36,1130,Haren
37,1140,EVERE
38,1150,WOLUWE-SAINT-PIERRE
39,1160,AUDERGHEM
40,1170,WATERMAEL-BOITSFORT
41,1180,UCCLE
42,1190,FOREST
43,1200,WOLUWE-SAINT-LAMBERT
44,1210,SAINT-JOSSE-TEN-NOODE
45,1212,SPF Mobilité
46,1300,WAVRE
47,1300,Limal
48,1301,Bierges
49,1310,LA HULPE
50,1315,Opprebais
51,1315,Glimes
52,1315,Piétrebais
53,1315,Roux-Miroir
54,1315,INCOURT
55,1320,Tourinnes-La-Grosse
56,1320,Hamme-Mille
57,1320,Nodebais
58,1320,BEAUVECHAIN
59,1320,L'Ecluse
60,1325,CHAUMONT-GISTOUX
61,1325,Corroy-Le-Grand
62,1325,Bonlez
63,1325,Longueville
64,1325,Dion-Valmont
65,1330,RIXENSART
66,1331,Rosières
67,1332,Genval
68,1340,OTTIGNIES-LOUVAIN-LA-NEUVE
69,1340,Ottignies
70,1341,Céroux-Mousty
71,1342,Limelette
72,1348,Louvain-La-Neuve
73,1350,Noduwez
74,1350,Folx-Les-Caves
75,1350,Jauche
76,1350,ORP-JAUCHE
77,1350,Enines
78,1350,Marilles
79,1350,Jandrain-Jandrenouille
80,1350,Orp-Le-Grand
81,1357,Neerheylissem
82,1357,Linsmeau
83,1357,Opheylissem
84,1357,HÉLÉCINE
85,1360,Malèves-Sainte-Marie-Wastinnes
86,1360,Thorembais-Saint-Trond
87,1360,Orbais
88,1360,Thorembais-Les-Béguines
89,1360,PERWEZ
90,1367,Grand-Rosière-Hottomont
91,1367,RAMILLIES
92,1367,Bomal
93,1367,Mont-Saint-André
94,1367,Autre-Eglise
95,1367,Gérompont
96,1367,Huppaye
97,1367,Geest-Gérompont-Petit-Rosière
98,1370,Piétrain
99,1370,Saint-Remy-Geest
100,1370,Mélin
101,1370,JODOIGNE
102,1370,Dongelberg
103,1370,Saint-Jean-Geest
104,1370,Zétrud-Lumay
105,1370,Jodoigne-Souveraine
106,1370,Jauchelette
107,1370,Lathuy
108,1380,Maransart
109,1380,Plancenoit
110,1380,Lasne-Chapelle-Saint-Lambert
111,1380,Couture-Saint-Germain
112,1380,LASNE
113,1380,Ohain
114,1390,GREZ-DOICEAU
115,1390,Bossut-Gottechain
